"precio","metros2","anyo","banyo","Sp","Sm","calefaccion","cocina","situacion"
461600,46,1964,0,1,"0","1","0","1"
1814000,80,1987,0,0,"0","0","0","2"
818000,49,1962,0,0,"0","0","0","2"
720000,37,1962,0,0,"0","0","0","2"
1116200,34,2002,0,0,"0","0","0","2"
961400,30,2002,0,0,"0","0","0","2"
1336600,48,2018,0,0,"0","0","0","2"
1951400,61,2018,0,0,"0","0","0","2"
2656200,98,2018,0,0,"0","0","1","2"
2833000,86,2011,0,0,"0","0","0","2"
2482200,87,2011,0,0,"0","0","0","2"
1556600,60,2011,0,0,"0","0","0","2"
478600,40,1987,0,0,"0","0","0","2"
801800,73,1987,0,0,"0","0","0","2"
1322000,72,1949,0,0,"0","1","0","2"
8e+05,40,1964,0,0,"0","1","0","2"
579800,35,1964,0,0,"0","1","0","2"
3818000,104,2011,0,0,"0","0","1","2"
1400000,57,1987,0,0,"0","1","0","2"
1974000,68,1987,1,0,"0","0","0","3"
2434800,62,2002,1,0,"0","0","0","3"
853600,67,2002,1,0,"0","0","0","3"
1060400,40,2002,1,0,"0","0","0","3"
1706000,84,2002,1,0,"0","0","1","3"
1965400,79,1987,1,0,"0","0","1","3"
1258600,62,1987,0,0,"0","0","0","2"
3371000,103,2015,1,0,"0","0","1","3"
3180800,116,1964,0,0,"0","0","0","2"
1e+06,32,2002,1,0,"0","0","0","3"
1020400,34,2002,1,0,"0","0","0","3"
1550400,72,2002,1,0,"0","0","1","3"
753400,38,1987,1,0,"0","0","0","3"
1032600,47,1987,1,0,"0","0","0","3"
2421600,71,2002,1,0,"0","0","0","3"
1118400,78,1987,1,0,"0","0","0","3"
816000,34,1987,1,0,"0","0","1","3"
2694600,48,2015,0,0,"0","0","0","2"
1852600,74,1987,0,0,"0","0","0","2"
2344600,85,2002,0,0,"0","0","0","2"
2515400,85,2002,0,0,"0","0","0","2"
2877000,70,2017,1,0,"0","0","0","3"
1821000,85,1964,0,0,"0","0","0","2"
685600,62,1942,0,0,"0","0","0","2"
909200,62,1964,0,0,"0","0","0","2"
2150600,102,1987,1,0,"0","0","0","3"
2024000,102,1987,1,0,"0","0","0","3"
1390000,63,1983,1,0,"0","0","0","3"
1068400,100,1937,1,0,"0","0","0","3"
1622400,35,1999,1,0,"0","0","0","3"
1646600,43,1999,1,0,"0","0","0","3"
1650600,43,1999,1,0,"0","0","0","3"
1387400,74,1964,0,0,"0","0","0","2"
2605600,82,1964,0,0,"0","0","0","2"
1150400,58,1964,0,0,"0","1","0","2"
2442200,100,1964,0,0,"0","0","0","2"
841200,38,1962,0,0,"0","0","0","2"
1185400,63,2011,0,0,"0","0","0","2"
2796600,100,2002,1,0,"0","0","0","3"
2500000,78,2002,0,0,"0","0","0","2"
1960000,97,1987,0,0,"0","0","0","2"
1916000,97,1987,0,0,"0","0","0","2"
944000,45,1964,0,0,"0","0","0","2"
2413200,75,2002,1,0,"0","0","0","3"
3100000,79,2002,1,0,"0","0","0","3"
466000,45,1987,1,0,"1","0","0","3"
2694000,95,1987,1,0,"0","0","1","3"
2457000,65,2011,1,0,"0","0","1","3"
3506400,83,1987,1,0,"0","0","1","3"
3420000,87,1987,1,0,"0","0","1","3"
2051000,84,1964,1,0,"0","0","1","3"
1900000,62,2002,1,0,"0","0","0","3"
3300000,100,2002,1,0,"0","0","0","3"
3140000,95,2002,1,0,"0","0","0","3"
1042800,40,1987,0,0,"0","0","0","2"
2700000,85,2002,0,0,"0","0","0","2"
1194400,34,1987,0,0,"0","0","0","2"
1160000,72,2002,0,1,"0","0","0","1"
1364200,38,2009,0,1,"0","0","0","1"
1016200,97,1987,0,1,"0","0","0","1"
4e+06,114,2015,1,0,"0","0","0","3"
2208000,57,1964,1,0,"0","0","0","3"
2800000,62,1939,1,0,"0","0","0","3"
2258000,88,1964,1,0,"0","0","1","3"
2378400,50,1964,1,0,"0","0","1","3"
1256000,48,1964,1,0,"0","0","0","3"
1130000,50,1964,0,1,"0","0","0","1"
1382000,62,1964,0,1,"0","0","0","1"
1426000,62,1964,0,1,"0","0","0","1"
1351000,62,2002,1,0,"0","1","0","3"
1302800,62,2002,1,0,"0","1","0","3"
3396400,120,1964,0,0,"0","0","0","2"
3236000,110,1987,0,0,"0","0","0","2"
1187200,64,1964,1,0,"0","0","0","3"
713400,84,1923,1,0,"1","1","0","3"
1812000,41,1958,1,0,"0","0","0","3"
1277200,90,1987,1,0,"0","0","0","3"
1965000,69,2002,0,0,"0","0","0","2"
1368200,42,2002,0,0,"0","0","0","2"
1809400,69,2002,0,0,"0","0","0","2"
2046400,45,1995,0,0,"0","0","0","2"
1091400,70,1987,0,0,"0","0","0","2"
1970800,94,1987,0,0,"0","0","0","2"
2490000,98,2002,0,0,"0","0","0","2"
3132000,79,2002,0,0,"0","0","0","2"
2060000,71,2002,0,0,"0","0","0","2"
1528000,79,2002,0,0,"0","0","0","2"
1099000,53,1964,1,0,"0","0","1","3"
961000,30,1964,1,0,"0","0","0","3"
1306000,69,1987,0,0,"0","0","0","2"
1507200,75,1987,0,0,"0","0","1","2"
1204600,59,1987,0,0,"0","0","0","2"
1016200,40,1987,0,0,"0","0","0","2"
908000,43,1987,0,0,"0","0","0","2"
2527600,72,1987,1,0,"0","0","0","3"
1292000,48,1987,0,0,"0","0","0","2"
1792000,55,1987,0,0,"0","0","0","2"
1489600,58,1987,0,0,"0","0","0","2"
1352600,49,1980,0,0,"0","1","0","2"
2018000,69,2002,1,0,"0","0","0","3"
2707600,70,2015,0,0,"0","0","1","2"
975200,70,1986,0,1,"0","1","0","1"
941000,75,1986,0,1,"0","1","0","1"
2065800,62,2011,0,0,"0","0","0","2"
2296600,65,1996,0,0,"0","0","0","2"
2032800,55,2002,0,0,"0","0","0","2"
1576400,55,2002,0,0,"0","0","0","2"
2464000,67,2018,0,0,"0","0","0","2"
2849800,67,2018,0,0,"0","0","0","2"
2904000,88,2000,0,0,"0","0","0","2"
1196600,37,2000,0,0,"0","0","0","2"
1259400,40,2011,0,1,"0","1","0","1"
1774800,64,2002,0,0,"0","0","0","2"
1053600,60,1987,0,0,"0","1","0","2"
2261600,85,2002,1,0,"0","0","0","3"
2353000,84,2002,1,0,"0","0","0","3"
2258800,70,2002,1,0,"0","0","0","3"
1178800,70,2002,1,0,"0","0","0","3"
1900000,92,2002,1,0,"0","0","0","3"
1873000,91,2002,1,0,"0","0","0","3"
1267200,87,1987,1,0,"0","0","0","3"
1000400,45,1987,1,0,"0","0","0","3"
709000,100,1987,0,0,"0","0","0","2"
493000,71,1987,0,0,"0","0","0","2"
2604000,80,1992,1,0,"0","0","1","3"
1422000,75,1992,1,0,"0","0","1","3"
3147800,79,2010,0,0,"0","0","0","2"
1030400,45,2002,0,0,"0","1","0","2"
1081600,72,2002,0,0,"0","0","0","2"
965800,72,1998,0,0,"0","0","0","2"
764200,64,1987,0,0,"0","1","0","2"
1105200,72,1982,0,0,"0","1","0","2"
2153600,100,2002,0,0,"0","1","0","2"
1270800,40,1987,0,0,"0","0","0","2"
1242800,42,1993,0,0,"0","0","0","2"
1272000,61,1987,0,0,"0","0","0","2"
1272000,61,1987,0,0,"0","0","0","2"
1240800,67,1987,0,0,"0","0","0","2"
1274000,61,1987,0,0,"0","0","0","2"
1073000,84,1940,0,0,"0","1","1","2"
1628200,54,2015,0,0,"0","0","0","2"
434600,32,2002,0,0,"0","0","0","2"
1267800,39,2000,0,0,"0","0","0","2"
989800,80,1964,0,0,"0","1","0","2"
1354000,57,1987,0,0,"0","0","0","2"
2938800,76,1987,1,0,"0","0","0","3"
1883800,80,1994,1,0,"0","0","0","3"
1364000,63,2002,1,0,"0","0","0","3"
1444000,63,2002,1,0,"0","0","0","3"
1702800,49,1995,0,0,"0","0","0","2"
860600,47,1923,0,0,"0","1","0","2"
2129600,60,1923,0,0,"0","0","0","2"
3152000,66,2011,0,0,"0","0","1","2"
2865200,99,1923,0,0,"0","0","0","2"
1633400,64,1923,0,0,"0","1","0","2"
1618200,73,1998,0,0,"0","0","0","2"
1753800,73,1998,0,0,"0","0","0","2"
970600,32,1998,0,0,"0","0","0","2"
1099200,32,1998,0,0,"0","0","0","2"
1880000,73,1998,0,0,"0","0","0","2"
1968400,46,1964,0,0,"0","0","0","2"
2196600,80,2011,0,0,"0","0","0","2"
1850000,69,2011,0,0,"0","0","0","2"
1202600,52,2002,0,0,"0","0","0","2"
1556800,30,2015,0,0,"0","0","0","2"
2575000,74,2010,0,0,"0","0","0","2"
1731800,30,1987,1,0,"0","0","1","3"
1228400,37,2002,1,0,"0","0","0","3"
1209000,35,1987,0,0,"0","0","0","2"
884600,41,1987,0,0,"0","0","0","2"
1590000,39,1987,0,1,"0","0","0","1"
1860000,48,1987,0,1,"0","0","0","1"
2134600,81,1988,1,0,"0","0","0","3"
1792000,109,1923,1,0,"0","0","0","3"
2350000,75,1983,1,0,"0","0","0","3"
1891800,46,1983,1,0,"0","0","0","3"
1108400,72,1987,0,0,"0","0","0","2"
2374200,89,2002,0,0,"0","0","0","2"
2452000,90,1964,0,0,"0","0","0","2"
1206000,35,1964,0,0,"0","0","0","2"
413600,54,1923,0,0,"0","1","0","2"
1178400,48,1964,0,0,"0","1","0","2"
1057000,59,1987,0,0,"0","1","0","2"
2073200,72,2002,0,0,"0","0","0","2"
2096600,68,2002,0,0,"0","0","0","2"
1912400,52,1964,0,0,"0","0","0","2"
502600,57,2002,0,0,"0","0","0","2"
801200,57,2002,0,0,"0","0","0","2"
550400,57,1987,0,0,"0","0","0","2"
1445200,78,1987,0,0,"0","0","0","2"
203400,52,1987,0,0,"0","0","0","2"
517000,87,1987,0,0,"0","0","0","2"
1340400,30,1996,0,0,"0","0","0","2"
2516800,74,2002,1,0,"0","0","1","3"
2873400,92,2002,0,0,"0","0","0","2"
1530600,53,2002,0,0,"0","0","0","2"
750400,50,1987,0,0,"0","0","1","2"
1027600,53,1987,0,0,"0","1","0","2"
1013600,57,1991,0,0,"0","0","0","2"
965000,32,2004,1,0,"0","0","1","3"
1600000,65,2002,1,0,"0","0","0","3"
1525600,56,1964,0,0,"0","0","0","2"
853000,65,1932,0,0,"0","1","0","2"
789800,43,1932,0,0,"0","1","0","2"
1350800,101,1938,0,0,"0","0","0","2"
2184000,80,2009,0,0,"0","0","0","2"
1492600,68,1987,0,0,"0","0","0","2"
1819000,79,1993,0,0,"0","0","0","2"
1878800,78,1987,0,0,"0","0","0","2"
961400,30,2002,1,0,"0","0","0","3"
2302000,88,1929,0,0,"0","1","0","2"
1693200,58,1929,0,0,"0","1","0","2"
1212600,54,1996,0,0,"0","1","0","2"
942200,56,1964,0,0,"0","1","0","2"
765200,47,1991,1,0,"0","0","0","3"
1832600,45,2011,1,0,"0","0","0","3"
662800,45,1964,0,0,"0","0","0","2"
1845200,72,2002,1,0,"0","0","0","3"
1362000,96,1923,0,1,"0","1","0","1"
1216600,110,1923,0,1,"0","1","0","1"
1584000,65,1987,0,0,"0","0","0","2"
1118000,40,1987,0,0,"0","0","0","2"
1400000,60,1987,0,0,"0","0","0","2"
1813200,64,1987,0,0,"0","0","0","2"
798000,46,1987,0,0,"0","1","0","2"
717200,35,1987,0,0,"0","1","0","2"
1807400,48,1987,0,0,"0","0","0","2"
2600000,73,2015,0,0,"0","0","0","2"
2800000,76,2011,0,0,"0","0","0","2"
1857000,57,1964,0,0,"0","0","0","2"
1461800,55,2002,0,1,"0","0","0","1"
1420000,53,2002,0,1,"0","0","0","1"
1467000,39,2002,0,1,"0","0","0","1"
1467800,38,1992,0,0,"0","0","0","2"
1481800,72,2011,0,0,"0","0","0","2"
1478400,65,2015,0,0,"0","0","0","2"
868000,43,1964,0,0,"0","1","0","2"
854600,40,1964,0,0,"0","1","0","2"
749000,56,1964,0,0,"0","0","0","2"
1047000,56,1964,0,0,"0","0","0","2"
763600,56,1987,0,0,"0","0","0","2"
727800,56,1987,0,0,"0","0","0","2"
1651800,48,1987,0,0,"0","0","0","2"
1431800,78,1964,0,0,"0","0","0","2"
2e+06,73,1957,0,0,"0","0","0","2"
1140000,79,1964,0,0,"0","0","0","2"
919200,48,1987,0,0,"0","1","1","2"
1020000,47,1964,0,0,"0","1","0","2"
721200,63,1987,0,0,"0","1","0","2"
1433000,79,1987,0,0,"0","0","0","2"
1735400,97,1987,0,0,"0","0","0","2"
1265800,69,1987,0,0,"0","0","0","2"
886600,54,1923,0,0,"0","1","0","2"
746400,57,1923,0,0,"0","1","0","2"
1519800,105,1923,0,0,"0","1","0","2"
1113400,82,2016,0,0,"0","0","0","2"
735600,90,1923,0,0,"0","1","0","2"
1097800,80,1923,0,0,"0","1","0","2"
1001800,95,1923,0,0,"0","1","0","2"
1880600,85,1964,0,0,"0","0","0","2"
2616600,110,1964,0,0,"0","0","0","2"
682400,85,1923,0,0,"0","0","0","2"
1943400,73,1987,0,0,"0","0","0","2"
1951000,48,1992,0,0,"0","0","0","2"
1435200,51,1964,0,0,"0","0","0","2"
2730000,102,2011,0,0,"0","0","0","2"
2170400,98,2010,0,0,"0","0","0","2"
1096600,92,1964,0,0,"0","0","0","2"
703600,69,1968,0,0,"0","1","0","2"
1142600,68,1964,0,0,"0","0","0","2"
1050000,59,1968,0,0,"0","0","0","2"
705600,69,1964,0,0,"0","1","0","2"
694800,67,1990,0,0,"0","1","0","2"
973800,67,1990,0,0,"0","1","0","2"
264200,84,1923,0,0,"0","1","0","2"
1524600,90,1923,1,0,"0","0","0","3"
2068000,100,1964,1,0,"0","0","0","3"
1351000,100,1923,1,0,"0","0","0","3"
3831400,115,1923,1,0,"0","0","1","3"
1039000,56,1964,1,0,"0","1","0","3"
921000,56,1964,1,0,"0","1","0","3"
750200,37,1987,1,0,"0","0","0","3"
891800,45,1987,1,0,"0","0","0","3"
1040400,54,1987,1,0,"0","0","0","3"
561200,52,1987,1,0,"0","0","0","3"
1702600,84,1987,1,0,"0","0","0","3"
1519600,65,1987,1,0,"0","1","0","3"
913400,78,2002,1,0,"0","1","0","3"
3288400,71,2015,1,0,"0","0","0","3"
484200,76,1923,1,0,"0","0","0","3"
508800,57,1987,1,0,"0","1","0","3"
1559400,74,1964,1,0,"0","0","0","3"
1366800,68,1987,1,0,"0","1","0","3"
1475600,92,1923,1,0,"0","1","0","3"
2376200,60,1964,1,0,"0","1","0","3"
2499000,62,1987,1,0,"0","1","0","3"
1385600,68,1923,1,0,"1","1","0","3"
1353400,48,1923,1,0,"0","1","0","3"
1893600,80,1923,1,0,"0","1","0","3"
2232200,80,1987,1,0,"0","1","0","3"
4541800,80,1923,1,0,"0","0","0","3"
1952800,79,1923,1,0,"0","0","0","3"
2172400,58,1923,1,0,"0","0","1","3"
2509200,72,1923,1,0,"0","0","0","3"
1777400,47,1923,1,0,"0","0","0","3"
1995600,54,1923,1,0,"0","0","0","3"
639600,46,1923,1,0,"0","1","0","3"
699200,30,1923,1,0,"1","1","0","3"
1080000,70,1923,1,0,"0","0","0","3"
2588600,95,1923,1,0,"0","0","0","3"
1217600,58,1987,1,0,"0","0","0","3"
1500000,89,1964,1,0,"0","0","0","3"
1363800,97,1987,1,0,"0","0","0","3"
1645400,59,1964,1,0,"0","0","0","3"
2430200,94,1987,1,0,"0","0","0","3"
2554000,120,1987,1,0,"0","1","0","3"
1238000,89,1964,0,0,"0","0","0","2"
1196000,78,1964,0,0,"0","0","0","2"
2569800,76,1964,0,0,"0","1","0","2"
843000,72,1987,0,0,"0","0","1","2"
1147000,72,1987,0,0,"0","0","1","2"
2015400,70,1987,1,0,"0","0","0","3"
1511200,52,1987,1,0,"0","0","0","3"
2115600,89,2002,0,0,"0","0","1","2"
2205400,55,1987,0,0,"0","0","1","2"
1869200,79,1987,0,0,"0","0","1","2"
3661400,100,2002,0,0,"0","0","1","2"
3007400,85,1987,0,0,"0","0","1","2"
3276800,80,1987,1,0,"0","0","1","3"
1141800,30,2002,0,0,"0","0","0","2"
1438000,32,2002,0,0,"0","0","0","2"
751600,63,1987,0,0,"0","0","1","2"
1690600,64,1964,1,0,"0","0","0","3"
2134800,45,1987,0,0,"0","0","1","2"
1736600,69,1987,0,0,"0","0","1","2"
570200,59,1987,0,0,"0","1","0","2"
1481200,50,1987,0,0,"0","1","0","2"
1400600,51,1987,0,0,"0","1","0","2"
1494600,56,1987,0,0,"0","0","0","2"
1437600,55,1964,0,0,"0","1","0","2"
1087000,37,1964,0,0,"1","1","0","2"
826000,76,1923,0,0,"0","1","0","2"
1627600,50,1923,0,0,"0","0","0","2"
1234200,69,1987,0,0,"0","0","0","2"
2369000,98,1964,0,1,"0","0","0","1"
1533600,55,1987,0,1,"0","1","0","1"
1323600,51,2002,0,0,"0","0","0","2"
1348400,68,2002,0,0,"0","0","0","2"
1189600,63,2002,0,0,"0","0","0","2"
1348800,72,2002,0,0,"0","0","0","2"
2138000,95,1964,1,0,"0","0","0","3"
1133800,94,1964,1,0,"0","0","0","3"
1447000,70,1987,1,0,"0","0","0","3"
1275400,86,1987,1,0,"0","0","0","3"
658600,34,1987,1,0,"0","0","0","3"
1754800,64,2018,1,0,"0","0","0","3"
2480800,64,2018,1,0,"0","0","0","3"
1929200,80,1987,0,1,"0","0","0","1"
1900600,48,1987,0,1,"0","0","0","1"
841000,40,1987,0,1,"0","0","0","1"
776200,78,1923,0,1,"0","1","0","1"
732400,35,1923,0,1,"0","1","0","1"
1772600,75,1923,0,1,"0","0","0","1"
1128200,56,1923,0,1,"0","0","0","1"
1113200,35,1923,0,1,"0","0","0","1"
1110800,40,1989,0,1,"0","0","0","1"
1082200,30,2015,0,1,"0","0","0","1"
1340600,64,1989,0,1,"0","0","0","1"
827800,94,1923,0,1,"0","0","0","1"
1568400,49,2002,0,1,"0","0","0","1"
1086200,56,1923,0,0,"0","1","0","2"
1057400,50,1923,0,0,"0","1","0","2"
1239400,108,1923,0,0,"0","1","0","2"
567600,90,1923,1,0,"0","0","0","3"
2187200,70,1987,0,0,"0","0","0","2"
1360600,67,1987,0,0,"0","0","0","2"
2965400,82,1923,0,0,"0","1","0","2"
572200,57,1923,0,0,"0","1","0","2"
1811600,66,1923,0,0,"0","0","0","2"
2479600,64,1923,0,0,"0","0","0","2"
935200,30,1993,0,1,"0","0","0","1"
1430400,50,1932,0,0,"0","1","0","2"
1397400,45,1932,0,0,"0","1","0","2"
1667400,45,1932,0,0,"0","1","0","2"
3080000,95,2002,0,0,"0","0","1","2"
1824000,117,1964,1,0,"0","0","0","3"
1703800,100,1964,1,0,"0","0","0","3"
1537800,49,1987,0,0,"0","0","0","2"
1107800,88,1987,0,0,"0","0","0","2"
452000,65,1964,0,0,"0","1","0","2"
846400,47,1980,0,0,"0","1","0","2"
2195400,108,1964,1,0,"0","1","0","3"
2314400,95,1971,1,0,"1","0","0","3"
761600,64,1932,1,0,"0","0","0","3"
1800000,110,1957,1,0,"0","1","0","3"
1190200,60,1923,0,0,"0","1","0","2"
1043800,108,1923,0,0,"0","1","0","2"
1075800,65,1923,0,0,"0","1","0","2"
1886800,40,2018,0,0,"0","0","0","2"
2820000,78,2002,0,0,"0","0","1","2"
2988400,79,2002,0,0,"0","0","0","2"
2289800,75,2002,0,0,"0","0","0","2"
3954400,103,1987,0,0,"0","0","0","2"
1352200,63,1964,0,0,"0","0","0","2"
1447800,52,1964,0,0,"0","0","0","2"
1327400,88,1987,0,0,"0","0","0","2"
1475000,40,1987,0,0,"0","1","1","2"
2007600,54,1987,0,0,"0","0","0","2"
2432200,60,1987,0,0,"0","0","0","2"
1385400,66,1987,0,0,"0","0","0","2"
1195000,64,1987,0,0,"0","0","0","2"
1992800,54,1987,0,0,"0","0","0","2"
2466400,114,1964,1,0,"0","0","1","3"
1254000,55,1968,1,0,"0","0","0","3"
